Gene.refGene	OMIM_GeneName	OMIM_Comments	OMIM_Phenotypes
UBE2G	Ubiquitin-conjugating enzyme E2G (UBC7, C. elegans, homolog of)	possible pseudogene on 1q42	
SPNS3	Spinster, Drosophila, homolog of, 3		
SPNS2, DFNB115	Sphingolipid transporter 2	mutation identified in 1 DFNB115 patient	?Deafness, autosomal recessive 115, 618457 (3), Autosomal recessive
MYBBP1A, P160	MYB-binding protein 1A		
GGT6	Gamma-glutamyltransferase 6		
ALOX15	Arachidonate 15-lipoxygenase		
PELP1, MNAR	Proline-, glutamic acid-, and leucine-rich protein 1		
ARRB2	Arrestin, beta 2		
MED11	Mediator complex subunit 11		
CXCL16	CXC chemokine ligand-16		
ZMYND15, SPGF14	Zinc finger MYND-containing protein 15	mutation identified in 1 SPGF14 family	?Spermatogenic failure 14, 615842 (3), Autosomal recessive
TM4SF5	Transmembrane 4 superfamily, member 5		
PSMB6, LMPY	Proteasome subunit, beta-type, 6		
PLD2	Phospholipase D2		
MINK1, MINK	Misshapen/nik-related kinase 1		
CHRNE, SCCMS, CMS4A, CMS4B, CMS4C	Cholinergic receptor, nicotinic, epsilon polypeptide		Myasthenic syndrome, congenital, 4A, slow-channel, 605809 (3), Autosomal recessive, Autosomal dominant; Myasthenic syndrome, congenital, 4B, fast-channel, 616324 (3), Autosomal recessive; Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931 (3), Autosomal recessive
GP1BA, BSS, BDPLT1, VWDP, BDPLT3	Glycoprotein Ib, platelet, alpha polypeptide		Bernard-Soulier syndrome, type A1 (recessive), 231200 (3), Autosomal recessive; Bernard-Soulier syndrome, type A2 (dominant), 153670 (3), Autosomal dominant; {Nonarteritic anterior ischemic optic neuropathy, susceptibility to}, 258660 (3), Autosomal recessive; von Willebrand disease, platelet-type, 177820 (3), Autosomal dominant
SLC25A11, SLC20A4, OGC, PGL6	Solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11		Paragangliomas 6, 618464 (3), Autosomal dominant
RNF167, RING105	RING finger protein 167		
PFN1, ALS18	Profilin-1		Amyotrophic lateral sclerosis 18, 614808 (3)
ENO3, GSD13	Enolase-3, beta, muscle	mutation identified in 1 GSD13 patient	?Glycogen storage disease XIII, 612932 (3), Autosomal recessive
SPAG7	Sperm-associated antigen 7		
CAMTA2, KIAA0909	Calmodulin-binding transcription activator 2		
INCA1, HSD45	Inhibitor of CDK, cyclin A1-interacting protein 1		
KIF1C, LTXS1, KIAA0706, SPAX2	Kinesin family member 1C		Spastic ataxia 2, autosomal recessive, 611302 (3), Autosomal recessive
SLC52A1, GPR172B, GPCR42, PAR2, FLJ10060, RBFVD	Solute carrier family 52, riboflavin transporter, member 1		Riboflavin deficiency, 615026 (3), Autosomal dominant
ZFP3	Zinc finger protein-3	probably in cluster with ZNF29 proximal to TP53	
ZNF232, ZSCAN11	Zinc finger protein 232		
USP6, TRE2	Ubiquitin-specific protease 6		
SCIMP, C17orf87	SLP adaptor- and CSK-interacting membrane protein		
RABEP1, RABPT5	RAB GTPase-binding effector protein 1	fused to PDGFRB in CMML	
NUP88, FADS4	Nucleoporin, 88-kD		Fetal akinesia deformation sequence 4, 618393 (3), Autosomal recessive
RPAIN, RIP	RPA-interacting protein		
C1QBP, HABP1, COXPD33	Complement component C1q binding protein (hyaluronic acid-binding protein 1)		Combined oxidative phosphorylation deficiency 33, 617713 (3), Autosomal recessive
DHX33	DEAH box polypeptide 33		
DERL2	DER1-like domain family, member 2		
MIS12	Mis12, S. pombe, homolog of		
NLRP1, NALP1, KIAA0926, DEFCAP, CARD7, SLEV1, VAMAS1, MSPC, AIADK	NLR family, pyrin domain containing 1		Autoinflammation with arthritis and dyskeratosis, 617388 (3), Autosomal recessive, Autosomal dominant; Palmoplantar carcinoma, multiple self-healing, 615225 (3), Autosomal dominant; {Vitiligo-associated multiple autoimmune disease susceptibility 1}, 606579 (3)
AIPL1, LCA4	Arylhydrocarbon-interacting receptor protein-like 1	LCA1 due to GUCY2D mutation also on 17p13.1	Cone-rod dystrophy, 604393 (3), Autosomal recessive; Leber congenital amaurosis 4, 604393 (3), Autosomal recessive; Retinitis pigmentosa, juvenile, 604393 (3), Autosomal recessive
PIMREG, RCS1, FAM64A	PICALM-interacting mitotic regulator		
PITPNM3, NIR1, CORD5	Phosphatidylinositol transfer protein, membrane-associated, 3		Cone-rod dystrophy 5, 600977 (3), Autosomal dominant
DEL17p13.1, C17DELp13.1	Chromosome 17p13.1 deletion syndrome	contiguous gene deletion syndrome	Chromosome 17p13.1 deletion syndrome, 613776 (4), Autosomal dominant
KIAA0753, OFIP, OFD15	KIAA0753 gene	mutation identified in 1 OFD15 patient	?Orofaciodigital syndrome XV, 617127 (3), Autosomal recessive
TXNDC17, TRP14, TXNL5	Thioredoxin domain-containing protein 17		
SLC13A5, NACT, EIEE25	Solute carrier family 13 (sodium-dependent citrate transporter), member 5		Epileptic encephalopathy, early infantile, 25, 615905 (3), Autosomal recessive
XAF1	XIAP-associated factor 1		
FBXO39, FBX39	F-box protein 39		
TEKT1	Tektin 1		
ALOX12	Arachidonate 12-lipoxygenase	pseudogene also on chr.17	
RNASEK	Ribonuclease K		
C17orf49, BAP18	Chromosome 17 open reading frame 49		
MIR195, MIRN195	Micro RNA 195		
MIR497	Micro RNA 497		
BCL6B, BAZF	B-cell lymphoma 6B		
SLC16A11, MCT11	Solute carrier family 16, member 11		
CLEC10A, CLECSF14, MGL, HML, CD301	C-type lectin domain family 10, member A		
ASGR2	Asialoglycoprotein receptor-2		
ASGR1	Asialoglycoprotein receptor-1		
DLG4, PSD95, SAP90	Discs large MAGUK scaffold protein 4		
ACADVL, VLCAD	Acyl-Coenzyme A dehydrogenase, very long chain		VLCAD deficiency, 201475 (3), Autosomal recessive
DVL2	Dishevelled 2		
PHF23	PHD finger protein 23		
GABARAP	GABA-A receptor-associated protein		
CTDNEP1, DULLARD	C-terminal domain nuclear envelope phosphatase 1		
ELP5, DERP6, C17orf81	Elongator acetyltransferase complex, subunit 5		
SLC2A4, GLUT4	Solute carrier family 2 (facilitated glucose transporter), member 4		
YBX2, MSY2, CSDA3, DBPC	Y box-binding protein 2		
EIF5A	Eukaryotic translation initiation factor-5A		
GPS2	G protein pathway suppressor 2		
NEURL4, KIAA1787	Neuralized E3 ubiquitin protein ligase 4		
KCTD11, REn	Potassium channel tetramerization domain-containing protein 11		
CENTB1, KIAA0050, ACAP1	Centaurin, beta-1		
TMEM95	Transmembrane protein 95		
TNK1	Tyrosine kinase, nonreceptor, 1		
PLSCR3	Phospholipid scramblase 3		
TMEM256, C17orf61	Transmembrane protein 256		
NLGN2, KIAA1366	Neuroligin 2		
SPEM1, C17orf83	Spermatid maturation protein 1		
TMEM102, CBAP	Transmembrane protein 102		
FGF11, FHF3	Fibroblast growth factor-11		
CHRNB1, ACHRB, SCCMS, CMS2A, CMS2C	Cholinergic receptor, nicotinic, beta polypeptide-1, muscle	mutation identified in 1 CMS2C family	Myasthenic syndrome, congenital, 2A, slow-channel, 616313 (3), Autosomal dominant; ?Myasthenic syndrome, congenital, 2C, associated with acetylcholine receptor deficiency, 616314 (3), Autosomal recessive
ZBTB4, KIAA1538	Zinc finger and BTB domain-containing 4		
POLR2A, RPOL2	Polymerase (RNA) II (DNA directed) polypeptide A, 220kD		
TNFSF12, TWEAK, APO3L, DR3LG	Tumor necrosis factor ligand superfamily, member 12		
TNFSF13, APRIL, TALL2	Tumor necrosis factor ligand superfamily, member 13		
SENP3	Sentrin-specific protease family, member 3		
EIF4A1, DDX2A	Eukaryotic translation initiation factor 4A, isoform 1		
CD68	Macrophage antigen CD68 (macrosialin)		
MPDU1, SL15, CDGIF	Mannose-P-dolichol utilization defect 1		Congenital disorder of glycosylation, type If, 609180 (3), Autosomal recessive
SOX15, SOX20	SRY (sex-determining region Y)-box 15		
FXR2	Fragile X mental retardation, autosomal homolog-2		
SHBG, ABP	Sex hormone-binding globulin (androgen binding protein)		
SAT2, SSAT2	Spermidine/spermine N(1)-acetyltransferase 2		
ATP1B2, AMOG	ATPase, Na+K+ transporting, beta-2 polypeptide		
TP53, P53, LFS1 , BCC7, BMFS5	Tumor protein p53		{Adrenocortical carcinoma, pediatric}, 202300 (3), Autosomal dominant; {Basal cell carcinoma 7}, 614740 (3), Autosomal dominant; Bone marrow failure syndrome 5, 618165 (3), Autosomal dominant; Breast cancer, somatic, 114480 (3); {Choroid plexus papilloma}, 260500 (3), Autosomal dominant; {Colorectal cancer}, 114500 (3), Autosomal dominant, Somatic mutation; {Glioma susceptibility 1}, 137800 (3), Autosomal dominant, Somatic mutation; Hepatocellular carcinoma, somatic, 114550 (3); Li-Fraumeni syndrome, 151623 (3), Autosomal dominant; Nasopharyngeal carcinoma, somatic, 607107 (3); {Osteosarcoma}, 259500 (3), Somatic mutation; Pancreatic cancer, somatic, 260350 (3)
WRAP53, TCAB1, WDR79, DKCB3	WD repeat-containing protein antisense to TP53		Dyskeratosis congenita, autosomal recessive 3, 613988 (3), Autosomal recessive
EFNB3, EPLG8, LERK8, EFL6	Ephrin B3		
DNAH2, DNAHC2	Dynein, axonemal, heavy chain-2		
KDM6B, JMJD3, KIAA0346, NEDCFSA	Lysine-specific demethylase 6B		Neurodevelopmental disorder with coarse facies and mild distal skeletal abnormalities, 618505 (3), Autosomal dominant
TMEM88	Transmembrane protein 88		
NAA38, LSMD1, MAK31	N-alpha-acetyltransferase 38, NatC auxiliary subunit		
CHD3, SNIBCPS	Chromodomain helicase DNA binding protein-3		Snijders Blok-Campeau syndrome, 618205 (3), Autosomal dominant
KCNAB3, KCNA3B	Potassium voltage-gated channel, shaker-related subfamily, beta member 3		
TRAPPC1, MUM2, BET5	Trafficking protein particle complex, subunit 1		
CNTROB, LIP8	Centrosomal BRCA2-interacting protein		
GUCY2D, GUC2D, LCA1, CORD6, RCD2, CACD1, CSNB1I	Guanylate cyclase 2D, membrane, retina-specific	mutation identified in 1 CACD1 family	?Choroidal dystrophy, central areolar 1, 215500 (3), Autosomal dominant; Cone-rod dystrophy 6, 601777 (3), Autosomal recessive, Autosomal dominant; Leber congenital amaurosis 1, 204000 (3), Autosomal recessive; Night blindness, congenital stationary, type 1I, 618555 (3), Autosomal recessive
ALOX15B	Arachidonate 15-lipoxygenase, second type		
ALOX12B, ARCI2	Archidonate 12-lipoxygenase, R type		Ichthyosis, congenital, autosomal recessive 2, 242100 (3), Autosomal recessive
ALOXE3, ARCI3	Arachidonate lipoxygenase 3		Ichthyosis, congenital, autosomal recessive 3, 606545 (3), Autosomal recessive
TRNAK1, TRK1, TRK-TTT3-4	Transfer RNA lysine (TTT) 3-4		
TRNAQ1, TRQ1	tRNA glutamine-1		
TRNAL2, TRL2	tRNA leucine-2		
HES7, SCDO4	Hes family bHLH transcription factor 7		Spondylocostal dysostosis 4, autosomal recessive, 613686 (3), Autosomal recessive
TRNAR1, TRR1	tRNA arginine-1		
TRNAG2, TRG2	tRNA glycine-2	at least 8 copies in this region	
PER1, PER, RIGUI	Period circadian regulator 1		
VAMP2, SYB2	Vesicle-associated membrane protein-2 (synaptobrevin-2)		
TMEM107, MKS13, JBTS29	Transmembrane protein 107	mutation identified in 1 JBTS29	?Joubert syndrome 29, 617562 (3), Autosomal recessive; Meckel syndrome 13, 617562 (3), Autosomal recessive; Orofaciodigital syndrome XVI, 617563 (3), Autosomal recessive
SNORD118, LCC	Small nucleolar RNA,  C/D box, 118		Leukoencephalopathy, brain calcifications, and cysts, 614561 (3), Autosomal recessive
BORCS6, C17orf59, LYSPERSIN	BLOC1-related complex, subunit 6		
STK12, ARK2, AIK2, AIM1	Serine/threonine protein kinase 12		
CTC1, CRMCC, C17orf68, AAF132	Conserved telomere maintenance component 1		Cerebroretinal microangiopathy with calcifications and cysts, 612199 (3), Autosomal recessive
PFAS, FGARAT	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)		
SLC25A35	Solute carrier family 25, member 35		
RANGRF, MOG1	RAN guanine nucleotide release factor		
ARGEF15, KIAA0915	Rho guanine nucleotide exchange factor 15		
ODF4, OPPO1	Outer dense fiber of sperm tails 4		
RPL26, DBA11	Ribosomal protein L26	mutation identified in 1 family	?Diamond-Blackfan anemia 11, 614900 (3), Autosomal dominant
NUDEL	Nude-like protein (endooligopeptidase A)		
MYH10	Myosin, heavy polypeptide-10, non-muscle		
SPDYE4	SPEEDY/RINGO cell cycle regulator family, member E4		
PIK3R6, C17orf38	Phosphatidylinositol 3-kinase, regulatory subunit 6		
PIK3R5, p101	Phosphatidylinositol 3-kinase, regulatory subunit 5		Ataxia-oculomotor apraxia 3, 615217 (3), Autosomal recessive
NTN1, NTN1L, MRMV4	Netrin 1, mouse, homolog of		Mirror movements 4, 618264 (3), Autosomal dominant
STX8	Syntaxin 8		
WDR16, WDRPUH	WD repeat-containing protein 16		
DHRS7C, SDR32C2	Short-chain dehydrogenase reductase family, member 7C		
GLP2R	Glucagon-like peptide 2 receptor		
RCV1	Recoverin		
GAS7	Growth arrest-specific 7		
MYH13	Myosin, heavy polypeptide 13, skeletal muscle		
MYH8, DA7	Myosin, heavy polypeptide-8, skeletal muscle, perinatal		Carney complex variant, 608837 (3); Trismus-pseudocamptodactyly syndrome, 158300 (3), Autosomal dominant
MYH4	Myosin, heavy polypeptide-4, skeletal muscle		
MYH1	Myosin, heavy polypeptide-1, skeletal muscle, adult	cluster = 6 genes in 500kb	
MYH2, MYPOP	Myosin, heavy polypeptide-2, skeletal muscle, adult		Proximal myopathy and ophthalmoplegia, 605637 (3), Autosomal recessive, Autosomal dominant
MYH3, DA2A, DA2B3, DA8, CPSKF1A, CPSKF1B	Myosin, heavy polypeptide-3, skeletal muscle, embryonic		Arthrogryposis, distal, type 2A (Freeman-Sheldon), 193700 (3), Autosomal dominant; Arthrogryposis, distal, type 2B3 (Sheldon-Hall), 618436 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1A, 178110 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1B, 618469 (3), Autosomal recessive
SCO1, SCOD1	SCO cytochrome c oxidase assembly protein 1		Mitochondrial complex IV deficiency, 220110 (3), Autosomal recessive, Mitochondrial
AOMS2	Abdominal obesity-metabolic syndrome QTL2	second QTL on 3q27	Abdominal obesity-metabolic syndrome, 605572 (2), Autosomal dominant
DFNB85	Deafness, autosomal recessive 85	between rs230884 and rs12603885	Deafness, autosomal recessive 85, 613392 (2), Autosomal recessive
ECTD6	Ectodermal dysplasia 6, hair/nail type	between D17S839 and D17S1299	Ectodermal dysplasia 6, hair/nail type, 614928 (2), Autosomal recessive
YUHAL	Yuan-Harel-Lupski syndrome	contiguous gene duplication syndrome	Yuan-Harel-Lupski syndrome, 616652 (4), Autosomal dominant
PIRT	Phosphoinositide-interacting regulator of transient receptor potential channels		
SHISA6	Shisa family, member 6		
DNAH9, DNAH17L, DNEL1, CILD40	Dynein, axonemal, heavy chain 9		Ciliary dyskinesia, primary, 40, 618300 (3), Autosomal recessive
ZNF18, KOX11	Zinc finger protein-18 (KOX11)		
SERK1, PRKMK4, MAPKK4, JNKK1	SAPK/ERK kinase-1		
MYOCD	Myocardin		
ARHGAP44, RICH2, KIAA0672	RHO GTPase-activating protein 44		
ELAC2, HPC2, COXPD17	elaC, E. coli, homolog 2	at ~365cR	Combined oxidative phosphorylation deficiency 17, 615440 (3), Autosomal recessive; {Prostate cancer, hereditary, 2, susceptibility to}, 614731 (3)
HS3ST3A1, 30ST3A1	Heparan sulfate D-glucosaminyl 3-0-sulfotransferase 3A1		
COX10	Cytochrome c oxidase, subunit X		Leigh syndrome due to mitochondrial COX4 deficiency, 256000 (3), Autosomal recessive, Mitochondrial; Mitochondrial complex IV deficiency, 220110 (3), Autosomal recessive, Mitochondrial
HS3ST3B1, 30ST3B1	Heparan sulfate D-glucosaminyl 3-0-sulfotransferase 3B1		
PMP22, CMT1A, CMT1E, DSS, CIDP	Peripheral myelin protein-22	mutation identified in 1 CIDP family	Charcot-Marie-Tooth disease, type 1A, 118220 (3), Autosomal dominant; Charcot-Marie-Tooth disease, type 1E, 118300 (3), Autosomal dominant; Dejerine-Sottas disease, 145900 (3), Autosomal recessive, Autosomal dominant; ?Neuropathy, inflammatory demyelinating, 139393 (3), ?Autosomal dominant; Neuropathy, recurrent, with pressure palsies, 162500 (3), Autosomal dominant; Roussy-Levy syndrome, 180800 (3), Autosomal dominant
TEKT3	Tektin 3		
TRIM16, EBBP	Tripartite motif-containing protein 16		
ZNF29	Zinc finger protein-29 (KOX26)	proximal to TP53	
ADORA2B	Adenosine A2b receptor	incorrectly put on 10	
ZSWIM7, SWS1	Zinc finger SWIM domain-containing protein 7		
TTC19, MC3DN2	Tetratricopeptide repeat domain 19		Mitochondrial complex III deficiency, nuclear type 2, 615157 (3), Autosomal recessive
NCOR1	Nuclear receptor corepressor 1		
ADHD2	Attention deficit-hyperactivity disorder, susceptibility to, 2		{Attention deficit-hyperactivity disorder}, 143465 (2), Autosomal dominant
IS2, AIS2	Scoliosis, idiopathic 2	between D17S947 and D17S798	Scoliosis, idiopathic 2, 607354 (2)
PTLS	Potocki-Lupski syndrome	contiguous gene syndrome	Potocki-Lupski syndrome, 610883 (4), Isolated cases
VWSM	Van der Woude syndrome modifier		
PIGL, CHIME	Phosphatidylinositol glycan, class L		CHIME syndrome, 280000 (3), Autosomal recessive
CENPV, P30	Centromere protein V		
UBB	Ubiquitin B		
TRPV2, VRL1	Transient receptor potential cation channel, subfamily V, member 2		
TNFRSF13B, TACI, CVID2	Tumor necrosis factor receptor superfamily, member 13B		Immunodeficiency, common variable, 2, 240500 (3), Autosomal recessive, Autosomal dominant; Immunoglobulin A deficiency 2, 609529 (3)
MPRIP, MRIP, KIAA0864, RIP3, P116RIP	Myosin phosphatase Rho-interacting protein		
PLD6, ZUC	Phospholipase D family, member 6		
FLCN, BHD	Folliculin		Birt-Hogg-Dube syndrome, 135150 (3), Autosomal dominant; Colorectal cancer, somatic, 114500 (3); Pneumothorax, primary spontaneous, 173600 (3), Autosomal dominant; Renal carcinoma, chromophobe, somatic, 144700 (3)
COPS3, SGN3	COP9 signalosome, subunit 3		
NT5M, DNT2	Deoxyribonucleotidase, mitochondrial (5' nucleotidase, mitochondrial)		
MED9, MED25, FLJ10193	Mediator of RNA polymerase II transcription, subunit 9, S. cerevisiae, homolog of		
RASD1, DEXRAS1	Ras protein, dexamethasone-induced, 1		
PEMT, PEMPT	Phosphatidylethanolamine N-methyltransferase		
RAI1, SMCR, SMS	Retinoic acid-induced gene 1		Smith-Magenis syndrome, 182290 (3), Autosomal dominant, Isolated cases
SREBF1	Sterol regulatory element binding transcription factor 1		
MIR33B, MIRN33B	Micro RNA 33B		
TOM1L2	TOM1-like 2		
ATPAF2, ATP12, MC5DN1	ATP synthase, mitochondrial F1 complex, assembly factor 2	mutation identified in 1 MC5DN1 patient	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273 (3), Autosomal recessive
GID4, VID2, C17orf39	GID complex, subunit 4		
DRG2	Developmentally regulated GTP-binding protein 2		
MYO15A, DFNB3	Myosin XVA		Deafness, autosomal recessive 3, 600316 (3), Autosomal recessive
ALKBH5, ABH5	AlkB, E. coli, homolog of, 5		
LLGL1, DLG4	LLGL scribble cell polarity complex component 1		
FLII	Flightless-I, Drosophila, homolog of		
MEIF2, SMCR7, MID49	Mitochondrial elongation factor 2		
TOP3A, MGRISCE2, PEOB5	Topoisomerase (DNA) III, alpha	mutation identified in 1 PEOB5 patient	Microcephaly, growth restriction, and increased sister chromatid exchange 2, 618097 (3), Autosomal recessive; ?Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5, 618098 (3), Autosomal recessive
SMCR8	Smith-Magenis syndrome chromosome region, candidate gene 8		
SHMT1	Serine hydroxymethyltransferase (soluble)	?role in Smith-Magenis syndrome	
NOS2B	Nitric oxide synthase 2B		
FBXW10	F-box and WD40 domain protein 10		
PRPSAP2, PAP41	Phosphoribosylpyrophosphate synthetase-associated protein 2		
GRAP, DFNB114	GRB2-related adaptor protein		Deafness, autosomal recessive 114, 618456 (3), Autosomal recessive
RNU3	RNA, U3 small nuclear	deleted in Smith-Magenis syndrome	
B9D1, MKSR1, MKS9, JBTS27	B9 domain-containing protein 1	mutation identified in 1 MKS9 patient	Joubert syndrome 27, 617120 (3), Autosomal recessive; ?Meckel syndrome 9, 614209 (3), Autosomal recessive
EPN2, KIAA1065	Epsin 2		
MAPK7, PRKM7, ERK5	Mitogen-activated protein kinase 7 (extracellular signal-regulated kinase 5)		
MFAP4	Microfibrillar-associated protein-4		
RNF112, ZNF179, BFP	RING finger protein 112		
SLC47A1, MATE1, FLJ10847	Solute carrier family 47, member 1		
ALDH3A2, ALDH10, SLS, FALDH	Aldehyde dehydrogenase 3 family, member A2 (fatty aldehyde dehydrogenase)		Sjogren-Larsson syndrome, 270200 (3), Autosomal recessive
SLC47A2, MATE2, FLJ31196, MATE2K	Solute carrier family 47, member 2		
ALDH3A1, ALDH3	Aldehyde dehydrogenase 3 family, member A1		
ULK2, KIAA0623, UNC51.2	UNC51-like kinase 2		
AKAP10	A-kinase anchor protein 10		{Cardiac conduction defect, susceptibility to}, 115080 (3), Autosomal dominant
SPECC1, HCMOGT1, NSP	Sperm antigen with calponin homology and coiled-coil domains 1		
USP22, KIAA1064	Ubiquitin-specific protease 22		
DHRS7B, SDR32C1	Short-chain dehydrogenase reductase family, member 7B		
PRKMK3, MAPKK3, MEK3	Protein kinase, mitogen-activated, kinase-3		
KCNJ12, KCNJN1	Potassium inwardly-rectifying channel, subfamily J, member 12		
KCNJ18, KIR2.6, TTPP2	Potassium channel, inwardly rectifying, subfamily J, member 18		{Thyrotoxic periodic paralysis, susceptibility to, 2}, 613239 (3), Autosomal dominant
PRG4, FLJ36000	p53-responsive gene 4		
MTRNR2L1, HN1	MTRNR2-like 1		
AUTS6	Autism, susceptibility to, 6	max lod at D17S1800	{Autism susceptibility 6}, 609378 (2)
ERVE1, HERVE1	Endogenous retroviral sequence E, 1		
HYT1	Hypertension, essential, susceptibility to, 1	~18cM distal to ACE	{Hypertension, essential, susceptibility to, 1}, 145500 (2), Multifactorial
WSB1, SWIP1	WD repeat- and SOCS box-containing protein 1		
CCL3L1, SCYA3L1, LD78	Chemokine, C-C motif, ligand 3-like 1	varies in copy number 1-10	{HIV/AIDS, susceptibility to}, 609423 (3)
DEL17q11.2, C17DELq11.2	Chromosome 17q11.2 deletion syndrome, 1.4Mb (NF1 microdeletion syndrome)		Chromosome 17q11.2 deletion syndrome, 1.4Mb, 613675 (4), Autosomal dominant
MHS2	Malignant hyperthermia susceptibility 2	?due to mutation in SCN4A	{Malignant hyperthermia susceptibility 2}, 154275 (2), Autosomal dominant
MPVQTL3	Mean platelet volume quantitative trait locus 3	associated with rs2138852	[Mean platelet volume QTL3], 612575 (2)
KSR, KSR1	Kinase suppressor of RAS		
LGALS9	Lectin, galactoside-binding, soluble, 9		
NOS2C	Nitric oxide synthase 2C		
NOS2A, NOS2	Nitric oxide synthase 2A, inducible, hepatocytes	?cluster of 3 NOS2 genes	{Hypertension, susceptibility to}, 145500 (2), Multifactorial; {Malaria, resistance to}, 611162 (3)
PYY2	Peptide YY, 2		
PPY2	Pancreatic polypeptide 2		
TMEM97, MAC30	Transmembrane protein 97		
IFT20	Intraflagellar transport 20		
TNFAIP1	Tumor necrosis factor, alpha-induced protein-1 (endothelial)		
POLDIP2, PDIP38	Polymerase delta-interacting protein 2		
TMEM199, VMA12, VPH2, C17orf32, CDG2P	Transmembrane protein 199		Congenital disorder of glycosylation, type IIp, 616829 (3), Autosomal recessive
SEBOX, OG9	Skin-, embryo-, brain-, and oocyte-specific homeobox		
VTN, VNT	Vitronectin (serum spreading factor, somatomedin B, complement S-protein)		
SARM, KIAA0524	Sterile alpha and heat/armadillo motifs-containing protein		
SLC46A1, HCP1, PCFT	Solute carrier family 46 (folate transporter), member 1		Folate malabsorption, hereditary, 229050 (3), Autosomal recessive
SLC13A2, NADC1	Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2		
FOXN1, WHN	Forkhead box N1 (winged helix nude)		T-cell immunodeficiency, congenital alopecia, and nail dystrophy, 601705 (3), Autosomal recessive
UNC119, HRG4, IMD13	unc-119 lipid binding chaperone	mutation identified in 1 IMD13 family and CORD family	?Cone-rod dystrophy (3); ?Immunodeficiency 13, 615518 (3), Autosomal dominant
PIGS, GPIBD18	Phosphatidylinositol glycan, class S		Glycosylphosphatidylinositol biosynthesis defect 18, 618143 (3), Autosomal recessive
ALDOC	Aldolase C, fructose-bisphosphatase		
SPAG5, MAP126, ASTRIN	Sperm-associated antigen 5		
SDF2	Stromal cell-derived factor-2		
SUPT6H	Suppressor of Ty, S.cerevisiae, 6 homolog of		
PROCA1	Proline-rich cyclin A1-interacting protein		
RAB34, RAH	Ras-associated protein 34		
RPL23A	Ribosomal protein L23a		
NEK8, JCK, NPHP9, RHPD2	Never in mitosis gene A-related kinase 8	mutations identified in 1 family with NPHP9	?Nephronophthisis 9, 613824 (3); Renal-hepatic-pancreatic dysplasia 2, 615415 (3), Autosomal recessive
TRAF4, MLN62, CART1	TNF receptor-associated factor 4		
ERAL1, ERAL1A, ERAL1B, PRLTS6	ERA G-protein-like 1		Perrault syndrome 6, 617565 (3), Autosomal recessive
MIR451, MIRN451	Micro RNA 451		
MIR144, MIRN144	Micro RNA 144		
FLOT2, M17S1, ECS1, ESA1	Flotillin 2 (epidermal surface antigen 1)	~180kb centromeric to NF1	
DHRS13, SDR7C5	Short-chain dehydrogenase reductase family, member 13		
SEZ6, BSRPC	Seizure-related 6, mouse, homolog of		
PIPOX	Pipecolic acid oxidase		
MYO18A, SPR210	Myosin XVIIIA		
TIAF1, MYO18A, MYSPDZ, MAJN, SPR210, KIAA0216	TGFB1-induced antiapoptotic factor 1		
CRYBA1, CRYB1, CTRCT10	Crystallin, beta A1	centromeric to NF1	Cataract 10, multiple types, 600881 (3), Autosomal dominant
NUFIP2, KIAA1321, PIG1	Nuclear fragile X mental retardation protein-interacting protein 2		
TAOK1, PSK2, TAO1, MARKK	TAO kinase 1		
GIT1	G protein-coupled receptor kinase-interacting protein 1		
ANKRD13B	Ankyrin repeat domain-containing protein 13B		
SSH2, KIAA1725	Slingshot, Drosophila, homolog of, 2		
NSRP1, NSRP70, CCDC55	Nuclear speckle splicing regulatory protein 1		
SLC6A4, HTT, OCD1	Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4		{Anxiety-related personality traits}, 607834 (3); {Obsessive-compulsive disorder}, 164230 (3), Autosomal dominant
BLMH, BMH	Bleomycin hydrolase		
CPD	Carboxypeptidase D		
GOSR1, GOS28, GS28	Golgi snap receptor complex member 1		
CRLF3, CYTOR4, CRLM9, CREME9	Cytokine receptor-like factor 3		
ATAD5, C17orf41, FRAG1, FLJ12735	ATPase family, AAA domain containing 5		
TEFM, C17orf42	Transcription elongation factor, mitochondrial		
ADAP2, CENTA2	ArfGAP with dual PH domains 2		
RNF135	Ring finger protein 135		
NF1, VRNF, WSS, NFNS	Neurofibromin (neurofibromatosis, type I)		Leukemia, juvenile myelomonocytic, 607785 (3), Autosomal dominant, Somatic mutation; Neurofibromatosis, familial spinal, 162210 (3), Autosomal dominant; Neurofibromatosis, type 1, 162200 (3), Autosomal dominant; Neurofibromatosis-Noonan syndrome, 601321 (3), Autosomal dominant; Watson syndrome, 193520 (3), Autosomal dominant
OMG, OMGP	Oligodendrocyte-myelin glycoprotein	within the NF1 gene	
EVI2B, EVDB	Ecotropic viral integration site 2B	within the NF1 gene	
EVI2A, EVI2, EVDA	Ecotropic viral integration site 2A	within the NF1 gene	
