Gene.refGene	OMIM_Comments	OMIM_GeneName	OMIM_Phenotypes
TRNAR1		tRNA arginine-1	
TRR1		tRNA arginine-1	
TRNAG2	at least 8 copies in this region	tRNA glycine-2	
TRG2	at least 8 copies in this region	tRNA glycine-2	
PER1		Period circadian regulator 1	
PER		Period circadian regulator 1	
RIGUI		Period circadian regulator 1	
VAMP2		Vesicle-associated membrane protein-2 (synaptobrevin-2)	
SYB2		Vesicle-associated membrane protein-2 (synaptobrevin-2)	
TMEM107	mutation identified in 1 JBTS29	Transmembrane protein 107	?Joubert syndrome 29, 617562 (3), Autosomal recessive; Meckel syndrome 13, 617562 (3), Autosomal recessive; Orofaciodigital syndrome XVI, 617563 (3), Autosomal recessive
MKS13	mutation identified in 1 JBTS29	Transmembrane protein 107	?Joubert syndrome 29, 617562 (3), Autosomal recessive; Meckel syndrome 13, 617562 (3), Autosomal recessive; Orofaciodigital syndrome XVI, 617563 (3), Autosomal recessive
JBTS29	mutation identified in 1 JBTS29	Transmembrane protein 107	?Joubert syndrome 29, 617562 (3), Autosomal recessive; Meckel syndrome 13, 617562 (3), Autosomal recessive; Orofaciodigital syndrome XVI, 617563 (3), Autosomal recessive
SNORD118		Small nucleolar RNA,  C/D box, 118	Leukoencephalopathy, brain calcifications, and cysts, 614561 (3), Autosomal recessive
LCC		Small nucleolar RNA,  C/D box, 118	Leukoencephalopathy, brain calcifications, and cysts, 614561 (3), Autosomal recessive
BORCS6		BLOC1-related complex, subunit 6	
C17orf59		BLOC1-related complex, subunit 6	
LYSPERSIN		BLOC1-related complex, subunit 6	
STK12		Serine/threonine protein kinase 12	
ARK2		Serine/threonine protein kinase 12	
AIK2		Serine/threonine protein kinase 12	
AIM1		Serine/threonine protein kinase 12	
CTC1		Conserved telomere maintenance component 1	Cerebroretinal microangiopathy with calcifications and cysts, 612199 (3), Autosomal recessive
CRMCC		Conserved telomere maintenance component 1	Cerebroretinal microangiopathy with calcifications and cysts, 612199 (3), Autosomal recessive
C17orf68		Conserved telomere maintenance component 1	Cerebroretinal microangiopathy with calcifications and cysts, 612199 (3), Autosomal recessive
AAF132		Conserved telomere maintenance component 1	Cerebroretinal microangiopathy with calcifications and cysts, 612199 (3), Autosomal recessive
PFAS		phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	
FGARAT		phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	
SLC25A35		Solute carrier family 25, member 35	
RANGRF		RAN guanine nucleotide release factor	
MOG1		RAN guanine nucleotide release factor	
ARGEF15		Rho guanine nucleotide exchange factor 15	
KIAA0915		Rho guanine nucleotide exchange factor 15	
ODF4		Outer dense fiber of sperm tails 4	
OPPO1		Outer dense fiber of sperm tails 4	
RPL26	mutation identified in 1 family	Ribosomal protein L26	?Diamond-Blackfan anemia 11, 614900 (3), Autosomal dominant
DBA11	mutation identified in 1 family	Ribosomal protein L26	?Diamond-Blackfan anemia 11, 614900 (3), Autosomal dominant
NUDEL		Nude-like protein (endooligopeptidase A)	
MYH10		Myosin, heavy polypeptide-10, non-muscle	
SPDYE4		SPEEDY/RINGO cell cycle regulator family, member E4	
PIK3R6		Phosphatidylinositol 3-kinase, regulatory subunit 6	
C17orf38		Phosphatidylinositol 3-kinase, regulatory subunit 6	
PIK3R5		Phosphatidylinositol 3-kinase, regulatory subunit 5	Ataxia-oculomotor apraxia 3, 615217 (3), Autosomal recessive
p101		Phosphatidylinositol 3-kinase, regulatory subunit 5	Ataxia-oculomotor apraxia 3, 615217 (3), Autosomal recessive
NTN1		Netrin 1, mouse, homolog of	Mirror movements 4, 618264 (3), Autosomal dominant
NTN1L		Netrin 1, mouse, homolog of	Mirror movements 4, 618264 (3), Autosomal dominant
MRMV4		Netrin 1, mouse, homolog of	Mirror movements 4, 618264 (3), Autosomal dominant
STX8		Syntaxin 8	
WDR16		WD repeat-containing protein 16	
WDRPUH		WD repeat-containing protein 16	
DHRS7C		Short-chain dehydrogenase reductase family, member 7C	
SDR32C2		Short-chain dehydrogenase reductase family, member 7C	
GLP2R		Glucagon-like peptide 2 receptor	
RCV1		Recoverin	
GAS7		Growth arrest-specific 7	
MYH13		Myosin, heavy polypeptide 13, skeletal muscle	
MYH8		Myosin, heavy polypeptide-8, skeletal muscle, perinatal	Carney complex variant, 608837 (3); Trismus-pseudocamptodactyly syndrome, 158300 (3), Autosomal dominant
DA7		Myosin, heavy polypeptide-8, skeletal muscle, perinatal	Carney complex variant, 608837 (3); Trismus-pseudocamptodactyly syndrome, 158300 (3), Autosomal dominant
MYH4		Myosin, heavy polypeptide-4, skeletal muscle	
MYH1	cluster = 6 genes in 500kb	Myosin, heavy polypeptide-1, skeletal muscle, adult	
MYH2		Myosin, heavy polypeptide-2, skeletal muscle, adult	Proximal myopathy and ophthalmoplegia, 605637 (3), Autosomal recessive, Autosomal dominant
MYPOP		Myosin, heavy polypeptide-2, skeletal muscle, adult	Proximal myopathy and ophthalmoplegia, 605637 (3), Autosomal recessive, Autosomal dominant
MYH3		Myosin, heavy polypeptide-3, skeletal muscle, embryonic	Arthrogryposis, distal, type 2A (Freeman-Sheldon), 193700 (3), Autosomal dominant; Arthrogryposis, distal, type 2B3 (Sheldon-Hall), 618436 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1A, 178110 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1B, 618469 (3), Autosomal recessive
DA2A		Myosin, heavy polypeptide-3, skeletal muscle, embryonic	Arthrogryposis, distal, type 2A (Freeman-Sheldon), 193700 (3), Autosomal dominant; Arthrogryposis, distal, type 2B3 (Sheldon-Hall), 618436 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1A, 178110 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1B, 618469 (3), Autosomal recessive
DA2B3		Myosin, heavy polypeptide-3, skeletal muscle, embryonic	Arthrogryposis, distal, type 2A (Freeman-Sheldon), 193700 (3), Autosomal dominant; Arthrogryposis, distal, type 2B3 (Sheldon-Hall), 618436 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1A, 178110 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1B, 618469 (3), Autosomal recessive
DA8		Myosin, heavy polypeptide-3, skeletal muscle, embryonic	Arthrogryposis, distal, type 2A (Freeman-Sheldon), 193700 (3), Autosomal dominant; Arthrogryposis, distal, type 2B3 (Sheldon-Hall), 618436 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1A, 178110 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1B, 618469 (3), Autosomal recessive
CPSKF1A		Myosin, heavy polypeptide-3, skeletal muscle, embryonic	Arthrogryposis, distal, type 2A (Freeman-Sheldon), 193700 (3), Autosomal dominant; Arthrogryposis, distal, type 2B3 (Sheldon-Hall), 618436 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1A, 178110 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1B, 618469 (3), Autosomal recessive
CPSKF1B		Myosin, heavy polypeptide-3, skeletal muscle, embryonic	Arthrogryposis, distal, type 2A (Freeman-Sheldon), 193700 (3), Autosomal dominant; Arthrogryposis, distal, type 2B3 (Sheldon-Hall), 618436 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1A, 178110 (3), Autosomal dominant; Contractures, pterygia, and variable skeletal fusions syndrome 1B, 618469 (3), Autosomal recessive
SCO1		SCO cytochrome c oxidase assembly protein 1	Mitochondrial complex IV deficiency, 220110 (3), Autosomal recessive, Mitochondrial
SCOD1		SCO cytochrome c oxidase assembly protein 1	Mitochondrial complex IV deficiency, 220110 (3), Autosomal recessive, Mitochondrial
AOMS2	second QTL on 3q27	Abdominal obesity-metabolic syndrome QTL2	Abdominal obesity-metabolic syndrome, 605572 (2), Autosomal dominant
DFNB85	between rs230884 and rs12603885	Deafness, autosomal recessive 85	Deafness, autosomal recessive 85, 613392 (2), Autosomal recessive
ECTD6	between D17S839 and D17S1299	Ectodermal dysplasia 6, hair/nail type	Ectodermal dysplasia 6, hair/nail type, 614928 (2), Autosomal recessive
YUHAL	contiguous gene duplication syndrome	Yuan-Harel-Lupski syndrome	Yuan-Harel-Lupski syndrome, 616652 (4), Autosomal dominant
PIRT		Phosphoinositide-interacting regulator of transient receptor potential channels	
SHISA6		Shisa family, member 6	
DNAH9		Dynein, axonemal, heavy chain 9	Ciliary dyskinesia, primary, 40, 618300 (3), Autosomal recessive
DNAH17L		Dynein, axonemal, heavy chain 9	Ciliary dyskinesia, primary, 40, 618300 (3), Autosomal recessive
DNEL1		Dynein, axonemal, heavy chain 9	Ciliary dyskinesia, primary, 40, 618300 (3), Autosomal recessive
CILD40		Dynein, axonemal, heavy chain 9	Ciliary dyskinesia, primary, 40, 618300 (3), Autosomal recessive
ZNF18		Zinc finger protein-18 (KOX11)	
KOX11		Zinc finger protein-18 (KOX11)	
SERK1		SAPK/ERK kinase-1	
PRKMK4		SAPK/ERK kinase-1	
MAPKK4		SAPK/ERK kinase-1	
JNKK1		SAPK/ERK kinase-1	
MYOCD		Myocardin	
ARHGAP44		RHO GTPase-activating protein 44	
RICH2		RHO GTPase-activating protein 44	
KIAA0672		RHO GTPase-activating protein 44	
ELAC2	at ~365cR	elaC, E. coli, homolog 2	Combined oxidative phosphorylation deficiency 17, 615440 (3), Autosomal recessive; {Prostate cancer, hereditary, 2, susceptibility to}, 614731 (3)
HPC2	at ~365cR	elaC, E. coli, homolog 2	Combined oxidative phosphorylation deficiency 17, 615440 (3), Autosomal recessive; {Prostate cancer, hereditary, 2, susceptibility to}, 614731 (3)
COXPD17	at ~365cR	elaC, E. coli, homolog 2	Combined oxidative phosphorylation deficiency 17, 615440 (3), Autosomal recessive; {Prostate cancer, hereditary, 2, susceptibility to}, 614731 (3)
HS3ST3A1		Heparan sulfate D-glucosaminyl 3-0-sulfotransferase 3A1	
30ST3A1		Heparan sulfate D-glucosaminyl 3-0-sulfotransferase 3A1	
COX10		Cytochrome c oxidase, subunit X	Leigh syndrome due to mitochondrial COX4 deficiency, 256000 (3), Autosomal recessive, Mitochondrial; Mitochondrial complex IV deficiency, 220110 (3), Autosomal recessive, Mitochondrial
HS3ST3B1		Heparan sulfate D-glucosaminyl 3-0-sulfotransferase 3B1	
30ST3B1		Heparan sulfate D-glucosaminyl 3-0-sulfotransferase 3B1	
PMP22	mutation identified in 1 CIDP family	Peripheral myelin protein-22	Charcot-Marie-Tooth disease, type 1A, 118220 (3), Autosomal dominant; Charcot-Marie-Tooth disease, type 1E, 118300 (3), Autosomal dominant; Dejerine-Sottas disease, 145900 (3), Autosomal recessive, Autosomal dominant; ?Neuropathy, inflammatory demyelinating, 139393 (3), ?Autosomal dominant; Neuropathy, recurrent, with pressure palsies, 162500 (3), Autosomal dominant; Roussy-Levy syndrome, 180800 (3), Autosomal dominant
CMT1A	mutation identified in 1 CIDP family	Peripheral myelin protein-22	Charcot-Marie-Tooth disease, type 1A, 118220 (3), Autosomal dominant; Charcot-Marie-Tooth disease, type 1E, 118300 (3), Autosomal dominant; Dejerine-Sottas disease, 145900 (3), Autosomal recessive, Autosomal dominant; ?Neuropathy, inflammatory demyelinating, 139393 (3), ?Autosomal dominant; Neuropathy, recurrent, with pressure palsies, 162500 (3), Autosomal dominant; Roussy-Levy syndrome, 180800 (3), Autosomal dominant
CMT1E	mutation identified in 1 CIDP family	Peripheral myelin protein-22	Charcot-Marie-Tooth disease, type 1A, 118220 (3), Autosomal dominant; Charcot-Marie-Tooth disease, type 1E, 118300 (3), Autosomal dominant; Dejerine-Sottas disease, 145900 (3), Autosomal recessive, Autosomal dominant; ?Neuropathy, inflammatory demyelinating, 139393 (3), ?Autosomal dominant; Neuropathy, recurrent, with pressure palsies, 162500 (3), Autosomal dominant; Roussy-Levy syndrome, 180800 (3), Autosomal dominant
DSS	mutation identified in 1 CIDP family	Peripheral myelin protein-22	Charcot-Marie-Tooth disease, type 1A, 118220 (3), Autosomal dominant; Charcot-Marie-Tooth disease, type 1E, 118300 (3), Autosomal dominant; Dejerine-Sottas disease, 145900 (3), Autosomal recessive, Autosomal dominant; ?Neuropathy, inflammatory demyelinating, 139393 (3), ?Autosomal dominant; Neuropathy, recurrent, with pressure palsies, 162500 (3), Autosomal dominant; Roussy-Levy syndrome, 180800 (3), Autosomal dominant
CIDP	mutation identified in 1 CIDP family	Peripheral myelin protein-22	Charcot-Marie-Tooth disease, type 1A, 118220 (3), Autosomal dominant; Charcot-Marie-Tooth disease, type 1E, 118300 (3), Autosomal dominant; Dejerine-Sottas disease, 145900 (3), Autosomal recessive, Autosomal dominant; ?Neuropathy, inflammatory demyelinating, 139393 (3), ?Autosomal dominant; Neuropathy, recurrent, with pressure palsies, 162500 (3), Autosomal dominant; Roussy-Levy syndrome, 180800 (3), Autosomal dominant
TEKT3		Tektin 3	
TRIM16		Tripartite motif-containing protein 16	
EBBP		Tripartite motif-containing protein 16	
ZNF29	proximal to TP53	Zinc finger protein-29 (KOX26)	
ADORA2B	incorrectly put on 10	Adenosine A2b receptor	
ZSWIM7		Zinc finger SWIM domain-containing protein 7	
SWS1		Zinc finger SWIM domain-containing protein 7	
TTC19		Tetratricopeptide repeat domain 19	Mitochondrial complex III deficiency, nuclear type 2, 615157 (3), Autosomal recessive
MC3DN2		Tetratricopeptide repeat domain 19	Mitochondrial complex III deficiency, nuclear type 2, 615157 (3), Autosomal recessive
NCOR1		Nuclear receptor corepressor 1	
ADHD2		Attention deficit-hyperactivity disorder, susceptibility to, 2	{Attention deficit-hyperactivity disorder}, 143465 (2), Autosomal dominant
IS2	between D17S947 and D17S798	Scoliosis, idiopathic 2	Scoliosis, idiopathic 2, 607354 (2)
AIS2	between D17S947 and D17S798	Scoliosis, idiopathic 2	Scoliosis, idiopathic 2, 607354 (2)
PTLS	contiguous gene syndrome	Potocki-Lupski syndrome	Potocki-Lupski syndrome, 610883 (4), Isolated cases
VWSM		Van der Woude syndrome modifier	
PIGL		Phosphatidylinositol glycan, class L	CHIME syndrome, 280000 (3), Autosomal recessive
CHIME		Phosphatidylinositol glycan, class L	CHIME syndrome, 280000 (3), Autosomal recessive
CENPV		Centromere protein V	
P30		Centromere protein V	
UBB		Ubiquitin B	
TRPV2		Transient receptor potential cation channel, subfamily V, member 2	
VRL1		Transient receptor potential cation channel, subfamily V, member 2	
TNFRSF13B		Tumor necrosis factor receptor superfamily, member 13B	Immunodeficiency, common variable, 2, 240500 (3), Autosomal recessive, Autosomal dominant; Immunoglobulin A deficiency 2, 609529 (3)
TACI		Tumor necrosis factor receptor superfamily, member 13B	Immunodeficiency, common variable, 2, 240500 (3), Autosomal recessive, Autosomal dominant; Immunoglobulin A deficiency 2, 609529 (3)
CVID2		Tumor necrosis factor receptor superfamily, member 13B	Immunodeficiency, common variable, 2, 240500 (3), Autosomal recessive, Autosomal dominant; Immunoglobulin A deficiency 2, 609529 (3)
MPRIP		Myosin phosphatase Rho-interacting protein	
MRIP		Myosin phosphatase Rho-interacting protein	
KIAA0864		Myosin phosphatase Rho-interacting protein	
RIP3		Myosin phosphatase Rho-interacting protein	
P116RIP		Myosin phosphatase Rho-interacting protein	
PLD6		Phospholipase D family, member 6	
ZUC		Phospholipase D family, member 6	
FLCN		Folliculin	Birt-Hogg-Dube syndrome, 135150 (3), Autosomal dominant; Colorectal cancer, somatic, 114500 (3); Pneumothorax, primary spontaneous, 173600 (3), Autosomal dominant; Renal carcinoma, chromophobe, somatic, 144700 (3)
BHD		Folliculin	Birt-Hogg-Dube syndrome, 135150 (3), Autosomal dominant; Colorectal cancer, somatic, 114500 (3); Pneumothorax, primary spontaneous, 173600 (3), Autosomal dominant; Renal carcinoma, chromophobe, somatic, 144700 (3)
COPS3		COP9 signalosome, subunit 3	
SGN3		COP9 signalosome, subunit 3	
NT5M		Deoxyribonucleotidase, mitochondrial (5' nucleotidase, mitochondrial)	
DNT2		Deoxyribonucleotidase, mitochondrial (5' nucleotidase, mitochondrial)	
MED9		Mediator of RNA polymerase II transcription, subunit 9, S. cerevisiae, homolog of	
MED25		Mediator of RNA polymerase II transcription, subunit 9, S. cerevisiae, homolog of	
FLJ10193		Mediator of RNA polymerase II transcription, subunit 9, S. cerevisiae, homolog of	
RASD1		Ras protein, dexamethasone-induced, 1	
DEXRAS1		Ras protein, dexamethasone-induced, 1	
PEMT		Phosphatidylethanolamine N-methyltransferase	
PEMPT		Phosphatidylethanolamine N-methyltransferase	
RAI1		Retinoic acid-induced gene 1	Smith-Magenis syndrome, 182290 (3), Autosomal dominant, Isolated cases
SMCR		Retinoic acid-induced gene 1	Smith-Magenis syndrome, 182290 (3), Autosomal dominant, Isolated cases
SMS		Retinoic acid-induced gene 1	Smith-Magenis syndrome, 182290 (3), Autosomal dominant, Isolated cases
SREBF1		Sterol regulatory element binding transcription factor 1	
MIR33B		Micro RNA 33B	
MIRN33B		Micro RNA 33B	
TOM1L2		TOM1-like 2	
ATPAF2	mutation identified in 1 MC5DN1 patient	ATP synthase, mitochondrial F1 complex, assembly factor 2	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273 (3), Autosomal recessive
ATP12	mutation identified in 1 MC5DN1 patient	ATP synthase, mitochondrial F1 complex, assembly factor 2	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273 (3), Autosomal recessive
MC5DN1	mutation identified in 1 MC5DN1 patient	ATP synthase, mitochondrial F1 complex, assembly factor 2	?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1, 604273 (3), Autosomal recessive
GID4		GID complex, subunit 4	
VID2		GID complex, subunit 4	
C17orf39		GID complex, subunit 4	
DRG2		Developmentally regulated GTP-binding protein 2	
MYO15A		Myosin XVA	Deafness, autosomal recessive 3, 600316 (3), Autosomal recessive
DFNB3		Myosin XVA	Deafness, autosomal recessive 3, 600316 (3), Autosomal recessive
ALKBH5		AlkB, E. coli, homolog of, 5	
ABH5		AlkB, E. coli, homolog of, 5	
LLGL1		LLGL scribble cell polarity complex component 1	
DLG4		LLGL scribble cell polarity complex component 1	
FLII		Flightless-I, Drosophila, homolog of	
MEIF2		Mitochondrial elongation factor 2	
SMCR7		Mitochondrial elongation factor 2	
MID49		Mitochondrial elongation factor 2	
TOP3A	mutation identified in 1 PEOB5 patient	Topoisomerase (DNA) III, alpha	Microcephaly, growth restriction, and increased sister chromatid exchange 2, 618097 (3), Autosomal recessive; ?Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5, 618098 (3), Autosomal recessive
MGRISCE2	mutation identified in 1 PEOB5 patient	Topoisomerase (DNA) III, alpha	Microcephaly, growth restriction, and increased sister chromatid exchange 2, 618097 (3), Autosomal recessive; ?Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5, 618098 (3), Autosomal recessive
PEOB5	mutation identified in 1 PEOB5 patient	Topoisomerase (DNA) III, alpha	Microcephaly, growth restriction, and increased sister chromatid exchange 2, 618097 (3), Autosomal recessive; ?Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 5, 618098 (3), Autosomal recessive
SMCR8		Smith-Magenis syndrome chromosome region, candidate gene 8	
SHMT1	?role in Smith-Magenis syndrome	Serine hydroxymethyltransferase (soluble)	
NOS2B		Nitric oxide synthase 2B	
FBXW10		F-box and WD40 domain protein 10	
PRPSAP2		Phosphoribosylpyrophosphate synthetase-associated protein 2	
PAP41		Phosphoribosylpyrophosphate synthetase-associated protein 2	
GRAP		GRB2-related adaptor protein	Deafness, autosomal recessive 114, 618456 (3), Autosomal recessive
DFNB114		GRB2-related adaptor protein	Deafness, autosomal recessive 114, 618456 (3), Autosomal recessive
RNU3	deleted in Smith-Magenis syndrome	RNA, U3 small nuclear	
B9D1	mutation identified in 1 MKS9 patient	B9 domain-containing protein 1	Joubert syndrome 27, 617120 (3), Autosomal recessive; ?Meckel syndrome 9, 614209 (3), Autosomal recessive
MKSR1	mutation identified in 1 MKS9 patient	B9 domain-containing protein 1	Joubert syndrome 27, 617120 (3), Autosomal recessive; ?Meckel syndrome 9, 614209 (3), Autosomal recessive
MKS9	mutation identified in 1 MKS9 patient	B9 domain-containing protein 1	Joubert syndrome 27, 617120 (3), Autosomal recessive; ?Meckel syndrome 9, 614209 (3), Autosomal recessive
JBTS27	mutation identified in 1 MKS9 patient	B9 domain-containing protein 1	Joubert syndrome 27, 617120 (3), Autosomal recessive; ?Meckel syndrome 9, 614209 (3), Autosomal recessive
EPN2		Epsin 2	
KIAA1065		Epsin 2	
MAPK7		Mitogen-activated protein kinase 7 (extracellular signal-regulated kinase 5)	
PRKM7		Mitogen-activated protein kinase 7 (extracellular signal-regulated kinase 5)	
ERK5		Mitogen-activated protein kinase 7 (extracellular signal-regulated kinase 5)	
MFAP4		Microfibrillar-associated protein-4	
RNF112		RING finger protein 112	
ZNF179		RING finger protein 112	
BFP		RING finger protein 112	
SLC47A1		Solute carrier family 47, member 1	
MATE1		Solute carrier family 47, member 1	
FLJ10847		Solute carrier family 47, member 1	
ALDH3A2		Aldehyde dehydrogenase 3 family, member A2 (fatty aldehyde dehydrogenase)	Sjogren-Larsson syndrome, 270200 (3), Autosomal recessive
ALDH10		Aldehyde dehydrogenase 3 family, member A2 (fatty aldehyde dehydrogenase)	Sjogren-Larsson syndrome, 270200 (3), Autosomal recessive
SLS		Aldehyde dehydrogenase 3 family, member A2 (fatty aldehyde dehydrogenase)	Sjogren-Larsson syndrome, 270200 (3), Autosomal recessive
FALDH		Aldehyde dehydrogenase 3 family, member A2 (fatty aldehyde dehydrogenase)	Sjogren-Larsson syndrome, 270200 (3), Autosomal recessive
SLC47A2		Solute carrier family 47, member 2	
MATE2		Solute carrier family 47, member 2	
FLJ31196		Solute carrier family 47, member 2	
MATE2K		Solute carrier family 47, member 2	
ALDH3A1		Aldehyde dehydrogenase 3 family, member A1	
ALDH3		Aldehyde dehydrogenase 3 family, member A1	
ULK2		UNC51-like kinase 2	
KIAA0623		UNC51-like kinase 2	
UNC51.2		UNC51-like kinase 2	
AKAP10		A-kinase anchor protein 10	{Cardiac conduction defect, susceptibility to}, 115080 (3), Autosomal dominant
SPECC1		Sperm antigen with calponin homology and coiled-coil domains 1	
HCMOGT1		Sperm antigen with calponin homology and coiled-coil domains 1	
NSP		Sperm antigen with calponin homology and coiled-coil domains 1	
USP22		Ubiquitin-specific protease 22	
KIAA1064		Ubiquitin-specific protease 22	
DHRS7B		Short-chain dehydrogenase reductase family, member 7B	
SDR32C1		Short-chain dehydrogenase reductase family, member 7B	
PRKMK3		Protein kinase, mitogen-activated, kinase-3	
MAPKK3		Protein kinase, mitogen-activated, kinase-3	
MEK3		Protein kinase, mitogen-activated, kinase-3	
KCNJ12		Potassium inwardly-rectifying channel, subfamily J, member 12	
KCNJN1		Potassium inwardly-rectifying channel, subfamily J, member 12	
KCNJ18		Potassium channel, inwardly rectifying, subfamily J, member 18	{Thyrotoxic periodic paralysis, susceptibility to, 2}, 613239 (3), Autosomal dominant
KIR2.6		Potassium channel, inwardly rectifying, subfamily J, member 18	{Thyrotoxic periodic paralysis, susceptibility to, 2}, 613239 (3), Autosomal dominant
TTPP2		Potassium channel, inwardly rectifying, subfamily J, member 18	{Thyrotoxic periodic paralysis, susceptibility to, 2}, 613239 (3), Autosomal dominant
PRG4		p53-responsive gene 4	
FLJ36000		p53-responsive gene 4	
MTRNR2L1		MTRNR2-like 1	
HN1		MTRNR2-like 1	
AUTS6	max lod at D17S1800	Autism, susceptibility to, 6	{Autism susceptibility 6}, 609378 (2)
ERVE1		Endogenous retroviral sequence E, 1	
HERVE1		Endogenous retroviral sequence E, 1	
HYT1	~18cM distal to ACE	Hypertension, essential, susceptibility to, 1	{Hypertension, essential, susceptibility to, 1}, 145500 (2), Multifactorial
WSB1		WD repeat- and SOCS box-containing protein 1	
SWIP1		WD repeat- and SOCS box-containing protein 1	
CCL3L1	varies in copy number 1-10	Chemokine, C-C motif, ligand 3-like 1	{HIV/AIDS, susceptibility to}, 609423 (3)
SCYA3L1	varies in copy number 1-10	Chemokine, C-C motif, ligand 3-like 1	{HIV/AIDS, susceptibility to}, 609423 (3)
LD78	varies in copy number 1-10	Chemokine, C-C motif, ligand 3-like 1	{HIV/AIDS, susceptibility to}, 609423 (3)
DEL17q11.2		Chromosome 17q11.2 deletion syndrome, 1.4Mb (NF1 microdeletion syndrome)	Chromosome 17q11.2 deletion syndrome, 1.4Mb, 613675 (4), Autosomal dominant
C17DELq11.2		Chromosome 17q11.2 deletion syndrome, 1.4Mb (NF1 microdeletion syndrome)	Chromosome 17q11.2 deletion syndrome, 1.4Mb, 613675 (4), Autosomal dominant
MHS2	?due to mutation in SCN4A	Malignant hyperthermia susceptibility 2	{Malignant hyperthermia susceptibility 2}, 154275 (2), Autosomal dominant
MPVQTL3	associated with rs2138852	Mean platelet volume quantitative trait locus 3	[Mean platelet volume QTL3], 612575 (2)
KSR		Kinase suppressor of RAS	
KSR1		Kinase suppressor of RAS	
LGALS9		Lectin, galactoside-binding, soluble, 9	
NOS2C		Nitric oxide synthase 2C	
NOS2A	?cluster of 3 NOS2 genes	Nitric oxide synthase 2A, inducible, hepatocytes	{Hypertension, susceptibility to}, 145500 (2), Multifactorial; {Malaria, resistance to}, 611162 (3)
NOS2	?cluster of 3 NOS2 genes	Nitric oxide synthase 2A, inducible, hepatocytes	{Hypertension, susceptibility to}, 145500 (2), Multifactorial; {Malaria, resistance to}, 611162 (3)
PYY2		Peptide YY, 2	
PPY2		Pancreatic polypeptide 2	
TMEM97		Transmembrane protein 97	
MAC30		Transmembrane protein 97	
IFT20		Intraflagellar transport 20	
TNFAIP1		Tumor necrosis factor, alpha-induced protein-1 (endothelial)	
POLDIP2		Polymerase delta-interacting protein 2	
PDIP38		Polymerase delta-interacting protein 2	
TMEM199		Transmembrane protein 199	Congenital disorder of glycosylation, type IIp, 616829 (3), Autosomal recessive
VMA12		Transmembrane protein 199	Congenital disorder of glycosylation, type IIp, 616829 (3), Autosomal recessive
VPH2		Transmembrane protein 199	Congenital disorder of glycosylation, type IIp, 616829 (3), Autosomal recessive
C17orf32		Transmembrane protein 199	Congenital disorder of glycosylation, type IIp, 616829 (3), Autosomal recessive
CDG2P		Transmembrane protein 199	Congenital disorder of glycosylation, type IIp, 616829 (3), Autosomal recessive
SEBOX		Skin-, embryo-, brain-, and oocyte-specific homeobox	
OG9		Skin-, embryo-, brain-, and oocyte-specific homeobox	
VTN		Vitronectin (serum spreading factor, somatomedin B, complement S-protein)	
VNT		Vitronectin (serum spreading factor, somatomedin B, complement S-protein)	
SARM		Sterile alpha and heat/armadillo motifs-containing protein	
KIAA0524		Sterile alpha and heat/armadillo motifs-containing protein	
SLC46A1		Solute carrier family 46 (folate transporter), member 1	Folate malabsorption, hereditary, 229050 (3), Autosomal recessive
HCP1		Solute carrier family 46 (folate transporter), member 1	Folate malabsorption, hereditary, 229050 (3), Autosomal recessive
PCFT		Solute carrier family 46 (folate transporter), member 1	Folate malabsorption, hereditary, 229050 (3), Autosomal recessive
SLC13A2		Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	
NADC1		Solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2	
FOXN1		Forkhead box N1 (winged helix nude)	T-cell immunodeficiency, congenital alopecia, and nail dystrophy, 601705 (3), Autosomal recessive
WHN		Forkhead box N1 (winged helix nude)	T-cell immunodeficiency, congenital alopecia, and nail dystrophy, 601705 (3), Autosomal recessive
UNC119	mutation identified in 1 IMD13 family and CORD family	unc-119 lipid binding chaperone	?Cone-rod dystrophy (3); ?Immunodeficiency 13, 615518 (3), Autosomal dominant
